unique_id,Title,Release Year,Locations,Fun Facts,Production Company,Distributor,Director,Writer,Actor 1,Actor 2,Actor 3,SF Find Neighborhoods,Analysis Neighborhoods,Current Supervisor Districts,lat1,lon1,address1,lat2,lon2,address2,query_location,city,state
44,Always Be My Maybe,2019,de Young Museum/Golden Gate Park,,"Isla Productions, LLC",Netflix,Nahnatchka Khan,"Michael Golamco, Randall Park, Ali Wong",Ali Wong,Randall Park,Keanu Reeves,9.0,12.0,4.0,,,,,,,de Young Museum/Golden Gate Park,San Francisco,California
45,Sense8,2015,Vallejo Street Garage; 766 Vallejo St.,dialogue scene on top of a garage roof,"Unpronounceable Productions, LLC",Netflix,The Wachowskis,The Wachowskis,Jamie Clayton,,,106.0,6.0,3.0,,,,,,,766 Vallejo St,San Francisco,California
46,The Pursuit of Happyness,2006,Candlestick Park (602 Jamestown Ave.),"Then Vice President Richard Nixon threw out the first pitch when Candlestick opened in 1960. On August 29, 1966, The Beatles played their last concert for paying fans at Candlestick Park.",Columbia Pictures Corporation,Columbia Pictures,Steven Conrad,Gabriele Muccino,Will Smith,Jayden C. Smith,,79.0,1.0,9.0,,,,,,,602 Jamestown Ave,San Francisco,California
47,Blue Jasmine,2013,2934 24th St.,,Perdido Productions,Sony Pictures Classics,Woody Allen,Woody Allen,Cate Blanchett,Alec Baldwin,Peter Sarsgaard,53.0,20.0,2.0,,,,,,,2934 24th St,San Francisco,California
48,Time After Time,1979,Merchant Exchange (465 California Street at Leidesdorff),,Orion Pictures Corp.,Columbia Broadcasting System (CBS),Nicholas Meyer,Karl Alexander,Malcolm McDowell,Mary Steenburgen,David Warner,108.0,8.0,3.0,,,,,,,465 California Street,San Francisco,California
49,The Net,1995,Montgomery & Market Streets,,Columbia Pictures Corp.,Columbia Pictures,Irwin Winkler,John Brancato,Sandra Bullock,Jeremy Northam,,108.0,8.0,10.0,,,,,,,Montgomery street & Market street,San Francisco,California
50,"Murder in the First, Season 1",2014,1201 Columbus Avenue,,Turner North Center Productions,Turner Network Television (TNT),Steven Bochcho,Eric Lodal,Taye Diggs,Kathleen Robertson,Ian Anthony Dale,99.0,32.0,6.0,,,,,,,1201 Columbus Avenue,San Francisco,California
51,The Towering Inferno,1974,"Fairmont Hotel (950 Mason Street, Nob Hill)","In 1945 the Fairmont hosted the United Nations Conference on International Organization as delegates arrived to draft a charter for the organization. The U.S. Secretary of State, Edward Stettinius drafted the charter in the hotel's Garden Room.",Irwin Allen Productions,Twentieth Century - Fox,John Guillermin,Stirling Silliphant,Steve McQueen,Paul Newman,William Holden,16.0,21.0,3.0,,,,,,,950 Mason Street,San Francisco,California
52,Shit and Champagne,2020,Haight at Ashbury St,,"Shaboom Boom, LLC",,D'Arcy Drollinger,D'Arcy Drollinger,D'Arcy Drollinger,Matthew Martin,Steven LeMay,25.0,3.0,11.0,,,,,,,Haight & Ashbury St,San Francisco,California
53,Blue Jasmine,2013,Lombard & Hyde,,Perdido Productions,Sony Pictures Classics,Woody Allen,Woody Allen,Cate Blanchett,Alec Baldwin,Peter Sarsgaard,107.0,32.0,6.0,,,,,,,Lombard & Hyde,San Francisco,California
54,DEVS,2020,Chinatown - Grant btwn California and Jackson St,,Minim Productions,FX Network,Alex Garland,Alex Garland,Sonoya Mizuno,Nick Offerman,Jin Ha,,,,,,,,,,Chinatown - Grant and California,San Francisco,California
55,Terminator - Genisys,2015,1 Market St. Landmark Building,,T5 Productions LLC,Paramount Pictures,Alan Taylor,James Cameron,Arnold Schwarzenegger,Jason Clarke,,108.0,8.0,10.0,,,,,,,1 Market St,San Francisco,California
56,Fearless,1993,"San Francisco General Hospital Medical Center (1001 Potrero Avenue, Potrero Hill)",SF General Hospital is the only Level I Trauma Center serving San Francisco and northern San Mateo County.,Spring Creek Productions,Warner Bros. Pictures,Peter Weir,Rafael Yglesias,Jeff Bridges,Isabella Rosellini,Rosie Perez,54.0,20.0,9.0,,,,,,,1001 Potrero Avenue,San Francisco,California
57,DEVS,2020,Clarion Alley,,Minim Productions,FX Network,Alex Garland,Alex Garland,Sonoya Mizuno,Nick Offerman,Jin Ha,53.0,20.0,2.0,,,,,,,Clarion Alley,San Francisco,California
58,Ant-Man,2015,Grant between Bush and Broadway,Driving shots,"PYM Particles Productions, LLC",Walt Disney Studios Motion Pictures,Peyton Reed,Gabriel Ferrari,Michael Douglas,Paul Rudd,,106.0,6.0,3.0,,,,,,,Grant and Bush,San Francisco,California
59,Godzilla,2014,Broadway & Columbus,,"Nautilus Productions, LLC",Warner Bros. Pictures,Gareth Edwards,Max Borenstein,Aaron Taylor-Johnson,Elizabeth Olsen,Bryan Cranston,106.0,23.0,3.0,,,,,,,Broadway & Columbus,San Francisco,California
60,Nash Bridges,2021,"1025 Columbus Avenue, Bimbo's",,"Village NB Productions, LLC",USA Nework,Greg Beeman,"Carlton Cuse, Bill Chais",Don Johnson,Cheech Marin,Joe Dinicol,107.0,32.0,3.0,,,,,,,1025 Columbus Avenue,San Francisco,California
